Rank,Name,Revenue,Profit,Asset,Employee,Country
52,Japan Post Holdings,115221,4324,2585802,245922,Japan
53,BMW Group,115043,8399,238864,134682,Germany
54,Phillips 66,114217,5595,54302,14200,U.S.
55,China Railway Engineering Group,112133,1241,137914,307992,China
56,China Mobile Communications,112096,11745,255217,462046,China
57,Valero Energy,111407,3122,50155,10261,U.S.
58,Bank of America Corp.,110584,28147,2354507,204489,U.S.
59,China Railway Construction,110456,1187,134180,356326,China
60,Microsoft,110360,16571,258848,131000,U.S.
61,Huawei Investment & Holding,109030,8954,96974,188000,China
62,Home Depot,108203,11121,44003,413000,U.S.
63,China National Offshore Oil,108130,7331,177194,93601,China
64,Nippon Telegraph & Telephone,107147,7708,201456,303351,Japan
65,Itochu,104627,4514,91251,139157,Japan
66,Nissan Motor,104391,2878,171251,148513,Japan
67,China Development Bank,103073,16744,2356616,9507,China
68,Boeing,101127,10460,117359,153000,U.S.
69,Wells Fargo,101060,22393,1895883,258700,U.S.
70,Siemens,98802,6909,161336,379000,Germany
71,Citigroup,97120,18045,1917383,204000,U.S.
72,Marathon Petroleum,97102,2780,92940,60350,U.S.
73,SK Holdings,95905,2048,107069,104374,South Korea
74,Petrobras,95584,7173,222068,63361,Brazil
75,Comcast,94507,11731,251684,184000,U.S.
76,Nestlé,93513,10365,139045,308000,Switzerland
77,Bosch Group,92602,3596,95617,409881,Germany
78,Uniper,92261,-533,57842,11828,Germany
79,Anthem,92105,3750,71571,63900,U.S.
80,China Resources,91986,3475,209652,421274,China
81,Carrefour,91955,-662,54153,363862,France
82,Dongfeng Motor,90934,1600,66397,167528,China
83,ENI,90800,4869,135300,31701,Italy
84,Dell Technologies,90621,-2310,111820,157000,U.S.
85,Banco Santander,90532,9217,1667947,194015,Spain
86,Rosneft Oil,90055,8746,189980,308000,Russia
87,China FAW Group,89805,2660,66683,142451,China
88,Sinochem Group,89358,701,71333,66713,China
89,Enel,89306,5652,189080,69272,Italy
90,Deutsche Telekom,89287,2556,166164,215675,Germany
91,Crédit Agricole,88325,5193,1856682,73346,France
92,Assicurazioni Generali,88157,2725,589590,70734,Italy
93,China Communications Construction,88141,1585,198944,178572,China
94,Hyundai Motor,87999,1371,161921,122217,South Korea
95,Pemex,87403,-9378,105384,131108,Mexico
96,Peugeot,87364,3336,70811,216539,France
97,Pacific Construction Group,86623,3391,58175,387525,China
98,SoftBank Group,86605,12728,326163,76866,Japan
99,HSBC Holdings,86131,13727,2558124,235217,Britain
100,DuPont,85977,3844,188030,98000,U.S.
101,China Post Group,85628,4134,1429122,935191,China
102,Hitachi,85508,2007,86985,295941,Japan
103,Tesco,84271,1743,65228,321490,Britain
104,BNP Paribas,83974,8882,2332676,197162,France
105,JXTG Holdings,82733,2907,76604,40695,Japan
106,Reliance Industries,82331,5661,144715,194056,India
107,China Energy Investment,81978,3531,259644,338472,China
108,State Farm Insurance Cos.,81732,8788,272518,56788,U.S.
109,Johnson & Johnson,81581,15297,152954,135100,U.S.
110,Electricité de France,81403,1389,323662,165790,France
111,China Southern Power Grid,80964,1782,118706,289735,China
112,China Minmetals,80076,-374,130627,199442,China
113,Equinor,79593,7535,112508,20525,Norway
114,International Business Machines,79591,8728,123382,381100,U.S.
115,BASF,78799,5555,98934,122404,Germany
116,Sony,78158,8264,189587,114400,Japan
117,Indian Oil,77587,2485,48386,35442,India
118,AEON,77123,214,90294,288326,Japan
119,Amer International Group,76363,1483,21241,16901,China
120,ArcelorMittal,76033,5149,91249,208583,Luxembourg
121,People's Insurance Co. of China,75377,1952,150259,198457,China
122,Target,75356,2937,41290,360000,U.S.
123,Airbus,75185,3604,131671,133671,Netherlands
124,Deutsche Post DHL Group,75001,2449,57687,499018,Germany
125,Nippon Life Insurance,74202,2515,712113,89198,Japan
126,Engie,74144,1219,175681,160301,France
127,Royal Ahold Delhaize,74104,2116,38097,225000,Netherlands
128,Freddie Mac,73598,9235,2063060,6621,U.S.
129,Beijing Automotive Group,72677,1098,66790,127163,China
130,PTT,72307,3704,72348,26613,Thailand
131,Panasonic,72178,2563,54341,271869,Japan
132,United Parcel Service,71861,4791,50016,364575,U.S.
133,Lowe's,71309,2314,34508,245000,U.S.
134,COFCO,71223,338,81657,117842,China
135,Intel,70848,21053,127963,107400,U.S.
136,U.S. Postal Service,70660,-3913,26688,565802,U.S.
137,CITIC Group,70659,4566,986297,287500,China
138,China Evergrande Group,70479,5653,273829,131694,China
139,JD.com,69848,-377,30465,178927,China
140,China North Industries Group,68778,966,57675,210507,China
141,China Telecommunications,68710,1665,122946,403014,China
142,MetLife,67941,5123,687538,48000,U.S.
143,Renault,67764,3897,131440,183002,France
144,ChemChina,67398,-2208,116354,138652,China
145,Munich Re Group,67226,2726,308802,41410,Germany
146,Procter & Gamble,66832,9750,118310,92000,U.S.
147,Marubeni,66754,2083,61526,46711,Japan
148,United Technologies,66501,5269,134211,240200,U.S.
149,China Baowu Steel Group,66310,2168,103676,161399,China
150,Bank of Communications,65645,11131,1388230,92714,China
151,Aviation Industry Corp. of China,65534,695,138083,446613,China
152,FedEx,65450,4572,52330,359530,U.S.
153,Dai-ichi Life Holdings,64795,2030,505478,62938,Japan
154,PepsiCo,64661,12515,77648,267000,U.S.
155,Archer Daniels Midland,64341,1810,40833,31600,U.S.
156,Prudential Financial,62992,4074,815078,50492,U.S.
157,Mitsui,62751,3736,107941,43993,Japan
158,Petronas,62231,11868,154071,48001,Malaysia
159,Seven & I Holdings,61487,1838,52069,58165,Japan
160,Oil & Natural Gas,61420,4361,71563,43743,India
161,PowerChina,61224,804,123815,185269,China
162,Toyota Tsusho,60994,1196,40133,58565,Japan
163,Roche Group,60846,10738,79680,94442,Switzerland
164,Auchan Holding,60749,-1351,41074,340577,France
165,Albertsons Cos.,60535,131,20777,267000,U.S.
166,Mitsubishi UFJ Financial Group,60405,7871,2811411,119390,Japan
167,Unilever,60167,11081,67958,154848,Britain/Neth.
168,Centene,60116,900,30901,47300,U.S.
169,Sinopharm,59980,884,49823,128600,China
170,Walt Disney,59434,12598,98598,201000,U.S.
171,POSCO,59223,1556,70608,33784,South Korea
172,Sysco,58727,1431,18070,67000,U.S.
173,HP,58472,5327,34622,55000,U.S.
174,Société Générale,58390,4560,1496676,140250,France
175,Pertamina,57934,2527,64719,31569,Indonesia
176,Telefónica,57466,3931,130356,120138,Spain
177,Country Garden Holdings,57309,5234,237368,131387,China
178,Tokyo Electric Power,57167,2096,115274,41086,Japan
179,Humana,56912,1683,25413,41600,U.S.
180,Brookfield Asset Management,56771,3584,256281,100750,Canada
181,Hengli Group,56199,583,22400,81350,China
182,Alibaba Group Holding,56147,13094,143608,101958,China
183,RWE,56017,465,91563,58441,Germany
184,Facebook,55838,22112,97334,35587,U.S.
185,LG Electronics,55757,1127,39732,72600,South Korea
186,Nippon Steel Corporation,55720,2265,72735,115878,Japan
187,Christian Dior,55263,3038,88321,141914,France
188,China Merchants Bank,55064,12179,982526,74590,China
189,Guangzhou Automobile Industry Group,55037,886,42550,113474,China
190,Caterpillar,54722,6147,78509,104000,U.S.
191,Itaú Unibanco Holding,54663,6815,400691,100335,Brazil
192,Anheuser-Busch InBev,54619,4368,232103,172603,Belgium
193,Korea Electric Power,54568,-1195,166038,46377,South Korea
194,Energy Transfer,54436,1694,88246,11768,U.S.
195,Wesfarmers,53985,927,27282,217000,Australia
196,América Móvil,53978,2733,72580,194431,Mexico
197,Lockheed Martin,53762,5046,44876,105000,U.S.
198,Pfizer,53647,11153,159422,92400,U.S.
199,China Pacific Insurance (Group),53572,2724,194585,107741,China
200,Repsol,53176,2763,69469,22735,Spain
201,Novartis,53166,12611,145563,125161,Switzerland
202,Greenland Holding Group,52721,1720,150975,39091,China
203,China National Building Material Group,52611,69,84608,207958,China
204,Goldman Sachs Group,52528,10459,931796,36600,U.S.
205,Continental,52405,3419,46229,243226,Germany
206,Vinci,52345,3520,86133,211233,France
207,Finatis,52272,-209,45173,218923,France
208,Deutsche Bahn,52004,623,66896,318528,Germany
209,Sumitomo Mitsui Financial Group,51728,6554,1840238,86659,Japan
210,Alimentation Couche-Tard,51394,1674,23141,130000,Canada
211,Shandong Energy Group,51246,573,43757,160064,China
212,Lenovo Group,51038,596,29989,57000,China
213,Industrial Bank,50991,9165,977563,59659,China
214,HBIS Group,50921,-78,63725,118656,China
215,ThyssenKrupp,50856,10,39334,161096,Germany
216,Shanghai Pudong Development Bank,50546,8453,916091,55692,China
217,Vodafone Group,50532,-9281,160391,98996,Britain
218,Morgan Stanley,50193,8748,853531,60348,U.S.
219,JBS,49710,7,29455,230086,Brazil
220,Zhejiang Geely Holding Group,49665,1969,48565,124846,China
221,Banco Bradesco,49612,4538,336888,86772,Brazil
222,MS&AD Insurance Group Holdings,49610,1738,209023,41467,Japan
223,Groupe BPCE,49529,3571,1456097,100245,France
224,Tokio Marine Holdings,49396,2477,203591,40848,Japan
225,Cisco Systems,49330,110,108784,74200,U.S.
226,Saint-Gobain,49300,496,50340,181001,France
227,Kia Motors,49238,1051,46416,52578,South Korea
228,Orange,48837,2306,110405,150711,France
229,Cigna,48650,2637,153226,73800,U.S.
230,Denso,48368,2296,52340,171992,Japan
231,Sumitomo,48156,2891,71533,65662,Japan
232,China Minsheng Banking,47981,7608,873155,58338,China
233,Woolworths Group,47842,1336,17402,201522,Australia
234,Banco Bilbao Vizcaya Argentaria,47608,6283,773456,125627,Spain
235,American International Group,47389,-6,491984,49600,U.S.
236,State Bank of India,47286,329,561370,257252,India
237,Tencent Holdings,47273,11901,105382,54309,China
238,Zurich Insurance Group,47180,3716,395342,52267,Switzerland
239,Deutsche Bank,46970,315,1540921,91737,Germany
240,Bayer,46718,2000,144344,116998,Germany
241,HCA Healthcare,46677,3787,39207,229000,U.S.
242,China Poly Group,46207,1496,158364,97527,China
243,China Shipbuilding Industry,46114,930,73373,165274,China
244,China Merchants Group,45926,4469,203621,115281,China
245,KDDI,45821,5571,66237,41996,Japan
246,BHP Group,45809,3705,111993,27161,Australia
247,Bunge,45743,267,19425,31000,U.S.
248,CNP Assurances,45461,1613,474944,5243,France
249,Wuchan Zhongda Group,45435,362,12534,20142,China
250,Sinomach,45424,488,57451,147099,China
251,Aluminum Corp. of China,45384,113,93408,124965,China
252,SABIC,45096,5738,85231,33000,Saudi Arabia
253,Volvo,44957,2864,53559,98652,Sweden
254,China Vanke,44913,5106,222652,104300,China
255,Sberbank,44898,13269,450270,293752,Russia
256,Royal Bank of Canada,44609,9636,1016476,81870,Canada
257,American Airlines Group,44541,1412,60580,128900,U.S.
258,Wilmar International,44498,1128,45680,90000,Singapore
259,Pegatron,44453,369,19012,156477,Taiwan
260,Delta Air Lines,44438,3935,60266,88680,U.S.
261,Hanwha,44303,426,151966,58070,South Korea
262,China United Network Communications,43974,617,78909,246299,China
263,Shaanxi Yanchang Petroleum (Group),43858,307,53958,136016,China
264,Charter Communications,43634,1230,146130,98000,U.S.
265,Tata Motors,43599,-4122,44349,81090,India
266,ZF Friedrichshafen,43582,1065,30898,148969,Germany
267,Metro,43467,409,17702,132293,Germany
268,New York Life Insurance,43425,880,311449,11388,U.S.
269,Banco do Brasil,43333,3783,360361,96889,Brazil
270,American Express,43281,6921,188602,59000,U.S.
271,Nationwide,43270,513,214142,30472,U.S.
272,ACS,43263,1080,39200,195461,Spain
273,Shandong Weiqiao Pioneering Group,43008,853,35359,106044,China
274,UBS Group,42960,4516,958489,66888,Switzerland
275,Bharat Petroleum,42936,1116,19768,12865,India
276,Best Buy,42879,1464,12901,125000,U.S.
277,Xiamen C&D,42726,631,36868,24016,China
278,Liberty Mutual Insurance Group,42685,2160,125989,50000,U.S.
279,China COSCO Shipping,42608,1555,117702,111397,China
280,Jardine Matheson,42527,1732,86258,469000,China
281,Shaanxi Coal & Chemical Industry,42419,91,72966,120095,China
282,Talanx,42391,830,186171,20780,Germany
283,China National Aviation Fuel Group,42371,476,8054,13181,China
284,Lufthansa Group,42302,2553,43678,115882,Germany
285,Merck,42294,6220,82637,69000,U.S.
286,China Huaneng Group,42281,9,156327,136031,China
287,Bouygues,42179,1547,43084,129275,France
288,Sanofi,42105,5082,127339,104226,France
289,China Everbright Group,41880,1891,696970,70000,China
290,Honeywell International,41802,6765,57773,114000,U.S.
291,Xiamen ITG Holding Group,41438,63,15123,23159,China
292,Iberdrola,41395,3557,129202,33216,Spain
293,United Airlines Holdings,41303,2129,44792,92000,U.S.
294,Maersk Group,41256,3169,56636,84404,Denmark
295,Toronto-Dominion Bank,41199,8752,1016604,84383,Canada
296,GlaxoSmithKline,41109,4832,73941,95490,Britain
297,TIAA,41052,1561,568190,17643,U.S.
298,Accenture,40993,4060,24449,459000,Ireland
299,Magna International,40827,2296,25945,174000,Canada
300,Mitsubishi Electric,40766,2044,39362,145817,Japan
301,Cedar Holdings Group,40641,845,20933,31547,China
302,Louis Dreyfus,40571,355,18440,16785,Netherlands
303,Rio Tinto Group,40522,13638,90949,47458,Britain
304,Edeka Zentrale,40454,380,8323,376000,Germany
305,Caixa Econômica Federal,40241,2833,326183,84952,Brazil
306,Tyson Foods,40052,3024,29109,121000,U.S.
307,Oracle,39831,3825,137264,137000,U.S.
308,Allstate,39815,2252,112249,45420,U.S.
309,World Fuel Services,39750,128,5677,5000,U.S.
310,ING Group,39598,5619,1011101,53768,Netherlands
311,Centrica,39595,244,26177,31780,Britain
312,Midea Group,39582,3059,38409,114765,China
313,Fresenius,39571,2392,64812,276750,Germany
314,Massachusetts Mutual Life Insurance,39267,398,265813,9844,U.S.
315,Intesa Sanpaolo,39051,4780,900365,92117,Italy
316,LyondellBasell Industries,39004,4688,28278,19450,Netherlands
317,TJX,38973,3060,14326,270000,U.S.
318,Yankuang Group,38887,-258,44775,104668,China
319,ConocoPhillips,38727,6257,69980,10800,U.S.
320,Barclays,38278,2862,1443123,83500,Britain
321,J. Sainsbury,38064,287,30669,116400,Britain
322,China Aerospace Science & Industry,37870,1846,47048,146346,China
323,China Aerospace Science & Technology,37728,2464,63497,179788,China
324,Meiji Yasuda Life Insurance,37723,2071,380597,42950,Japan
325,George Weston,37475,443,32084,197000,Canada
326,SNCF Mobilités,37389,5313,48483,203865,France
327,Daiwa House Industry,37371,2142,39162,44947,Japan
328,ABB,37360,2173,44441,146600,Switzerland
329,Deere,37358,2368,70108,74413,U.S.
330,Tech Data,37239,341,12987,14000,U.S.
331,Power Corp. of Canada,37112,1033,331212,30000,Canada
332,Swiss Re,37047,462,207570,14943,Switzerland
333,Suning.com Group,37032,2015,29053,130455,China
334,Mitsubishi Heavy Industries,36784,914,46469,80744,Japan
335,SK Hynix,36763,14125,57057,33000,South Korea
336,Vale,36696,6860,88190,70270,Brazil
337,Enterprise Products Partners,36534,4172,56970,7000,U.S.
338,XMXYG,36504,199,16892,10350,China
339,Aisin Seiki,36466,993,33902,119732,Japan
340,Jiangsu Shagang Group,36441,1869,33174,31290,China
341,Nike,36397,1933,22536,73100,U.S.
342,Publix Super Markets,36396,2381,18983,202000,U.S.
343,General Dynamics,36193,3345,45408,105600,U.S.
344,Exelon,35985,2010,119666,33383,U.S.
345,Canon,35797,2290,44662,195056,Japan
346,Enbridge,35785,2224,122221,12000,Canada
347,Jizhong Energy Group,35721,-153,33772,112859,China
348,E.ON,35704,3804,62092,43302,Germany
349,Fujitsu,35648,943,28055,132138,Japan
350,Mizuho Financial Group,35406,871,1814333,59132,Japan
351,Mitsubishi Chemical Holdings,35386,1529,50353,72020,Japan
352,CK Hutchison Holdings,35361,4976,157393,300000,China
353,Lloyds Banking Group,35252,5738,1015661,64928,Britain
354,Idemitsu Kosan,35091,735,26116,9476,Japan
355,Poste Italiane,35071,1651,238753,132388,Italy
356,JFE Holdings,34937,1475,42552,62083,Japan
357,Suzuki Motor,34918,1612,30740,67721,Japan
358,Jiangxi Copper,34870,131,18618,23194,China
359,CRRC Group,34673,487,58038,187959,China
360,Credit Suisse Group,34284,2070,780309,45680,Switzerland
361,Tsingshan Holding Group,34242,579,8523,56088,China
362,State Power Investment,34229,171,157348,124678,China
363,Taiwan Semiconductor Manufacturing,34218,12044,68000,48752,Taiwan
364,China Energy Engineering Group,34177,433,57759,129929,China
365,Quanta Computer,34103,502,21456,112421,Taiwan
366,Plains GP Holdings,34055,334,26830,4900,U.S.
367,China South Industries Group,33896,268,48455,198932,China
368,Yango Longking Group,33395,614,51585,21849,China
369,Jinchuan Group,33392,234,16925,27594,China
370,China Electronics Technology Group,33324,1755,51673,179636,China
371,Toshiba,33313,9139,38830,128697,Japan
372,Prudential,33253,4015,647709,23792,Britain
373,Commonwealth Bank of Australia,33186,7228,720354,45753,Australia
374,Bridgestone,33063,2642,35221,143509,Japan
375,China Electronics,33056,350,40323,135297,China
376,GS Caltex,33053,640,17531,3212,South Korea
377,Sompo Holdings,32857,1323,108595,49837,Japan
378,Sumitomo Life Insurance,32825,435,341660,42848,Japan
379,Schlumberger,32815,2138,70507,100000,U.S.
380,3M,32765,5349,36500,93516,U.S.
381,AbbVie,32753,5687,59352,30000,U.S.
382,Chubb,32717,3962,167771,32700,Switzerland
383,CHS,32683,776,16381,10495,U.S.
384,British American Tobacco,32667,8045,186352,63877,Britain
385,Ansteel Group,32619,-255,49470,136319,China
386,China Huadian,32421,464,118797,97629,China
387,Capital One Financial,32377,6015,372538,47600,U.S.
388,AIA Group,32369,2597,229806,22000,China
389,Mazda Motor,32151,573,25942,49998,Japan
390,Compal Electronics,32103,296,13007,82374,Taiwan
391,Progressive,31979,2615,46575,37346,U.S.
392,DZ Bank,31976,973,592912,28682,Germany
393,Hyundai Mobis,31949,1717,38605,34782,South Korea
394,CPC,31929,1138,25036,15712,Taiwan
395,Coca-Cola,31856,6434,83216,62600,U.S.
396,L'Oréal,31791,4597,43957,86030,France
397,CRH,31625,2971,40203,89831,Ireland
398,Bank of Nova Scotia,31589,6643,760409,97629,Canada
399,Johnson Controls International,31400,2162,48797,122000,Ireland
400,USAA,31368,2292,158507,33689,U.S.
401,Air France-KLM Group,31292,483,33212,81527,France
402,Shougang Group,31104,84,73067,108086,China
403,Compass Group,30879,1513,16444,595841,Britain
404,Hewlett Packard Enterprise,30852,1908,55493,60000,U.S.
405,BT Group,30743,2833,60303,106700,Britain
406,Inditex,30687,4042,24878,174386,Spain
407,Veolia Environnement,30580,518,42969,170819,France
408,Abbott Laboratories,30578,2368,67173,103000,U.S.
409,Micron Technology,30391,14135,43376,36000,U.S.
410,PKN ORLEN Group,30390,1539,17079,21282,Poland
411,Schneider Electric,30354,2755,48302,137534,France
412,Phoenix Pharma,30296,-175,9600,29631,Germany
413,Travelers Cos.,30282,2523,104233,30400,U.S.
414,Gree Electric Appliances,30239,3961,36593,88800,China
415,Coop Group,30235,484,20666,77448,Switzerland
416,Northrop Grumman,30095,3229,37653,85000,U.S.
417,Suncor Energy,30081,2541,65597,12480,Canada
418,Manulife Financial,30071,3704,549408,34000,Canada
419,Medtronic,29953,3104,91393,98003,Ireland
420,Kansai Electric Power,29833,1038,65577,32597,Japan
421,Arrow Electronics,29677,716,17784,20100,U.S.
422,Philip Morris International,29625,7911,39801,77400,U.S.
423,Koç Holding,29592,1144,23571,92631,Turkey
424,Wistron,29510,163,11033,82955,Taiwan
425,UniCredit Group,29332,4594,950369,86786,Italy
426,Samsung Life Insurance,29306,1513,259414,5420,South Korea
427,SAP,29160,4819,58854,96498,Germany
428,La Poste,29149,942,298905,233076,France
429,Northwestern Mutual,29124,783,272167,5870,U.S.
430,Naturgy Energy Group,29123,-3330,46441,13945,Spain
431,Migros Group,29098,511,67588,79913,Switzerland
432,Danone,29092,2772,50494,105783,France
433,Westpac Banking,29028,6152,636297,35029,Australia
434,KB Financial Group,29001,2783,429854,27040,South Korea
435,International Airlines Group,28803,3405,32043,64734,Britain
436,Medipal Holdings,28699,310,14619,15623,Japan
437,Sumitomo Electric Industries,28663,1065,27589,272796,Japan
438,China Datang,28655,323,108633,93800,China
439,Xinjiang Guanghui Industry Investment,28564,137,38415,82175,China
440,Subaru,28505,1333,26952,34200,Japan
441,Anhui Conch Group,28499,1629,27968,55380,China
442,Huaxia Life Insurance,28493,399,74402,500000,China
443,CFE,28457,2322,84235,91369,Mexico
444,Samsung C&T,28319,1557,38009,17274,South Korea
445,Adecco Group,28167,541,11108,34000,Switzerland
446,Randstad,28102,831,11359,38820,Netherlands
447,LafargeHolcim,28089,1536,60580,77055,Switzerland
448,Haier Smart Home,27714,1125,24280,87447,China
449,INTL FCStone,27623,56,7825,1701,U.S.
450,Anglo American,27610,3549,52196,64000,Britain
451,China Taiping Insurance Group,27486,434,96189,75341,China
452,Mapfre Group,27424,624,76913,35390,Spain
453,Chubu Electric Power,27374,716,54103,30321,Japan
454,PBF Energy,27186,128,8005,3266,U.S.
455,Cathay Life Insurance,27183,1002,207945,38694,Taiwan
456,Financière de l'Odet,27173,144,61195,81003,France
457,Australia & New Zealand Banking Group,27148,4863,681894,39924,Australia
458,East Japan Railway,27076,2663,75537,85718,Japan
459,OMV Group,27061,1789,42246,20231,Austria
460,Raytheon,27058,2909,31864,67000,U.S.
461,TongLing Nonferrous Metals Group,26847,-70,12669,24848,China
462,Shanxi LuAn Mining Group,26841,1,35084,100637,China
463,CJ Corp.,26836,251,28439,64832,South Korea
464,Datong Coal Mine Group,26698,-182,49898,156268,China
465,Shanxi Coking Coal Group,26693,142,49288,199872,China
466,Nokia,26628,-401,45168,103083,Finland
467,Heineken Holding,26608,1134,47956,85610,Netherlands
468,Xiaomi,26444,2049,21153,16683,China
469,Yangquan Coal Industry Group,26290,-131,34910,129150,China
470,NEC,26277,363,26662,110595,Japan
471,Fubon Financial Holding,26277,1583,251011,45174,Taiwan
472,Kraft Heinz,26268,-10192,103461,38000,U.S.
473,Hailiang Group,26251,238,8036,19510,China
474,Flex,26211,93,13499,200000,Singapore
475,Xinxing Cathay International Group,26208,104,20671,52024,China
476,Emirates Group,26148,237,34688,60282,United Arab Emirates
477,Ceconomy,26129,-252,9843,53954,Germany
478,Michelin,25997,1979,33659,111117,France
479,National Australia Bank,25943,4221,583429,33283,Australia
480,Mondelez International,25938,3381,62729,80000,U.S.
481,Adidas,25920,2009,17845,57016,Germany
482,Shanxi Jincheng Anthracite Coal Mining Group,25845,53,40138,128795,China
483,Rabobank Group,25823,2235,674870,41861,Netherlands
484,Henan Energy & Chemical,25782,-133,39328,171334,China
485,China General Technology,25779,443,25231,34752,China
486,U.S. Bancorp,25775,7096,467374,75772,U.S.
487,Macy's,25739,1108,19194,130000,U.S.
488,Fomento Económico Mexicano,25679,1247,29270,297073,Mexico
489,Dollar General,25625,1590,13204,135000,U.S.
490,LG Chem,25617,1339,25943,33694,South Korea
491,Onex,25606,-663,45417,217000,Canada
492,Formosa Petrochemical,25463,1993,13202,5285,Taiwan
493,Safran,25192,1514,46429,92639,France
494,Achmea,25180,371,93516,13714,Netherlands
495,Rajesh Exports,25143,185,4164,383,India
496,Nucor,25067,2361,17921,26300,U.S.
497,Bank of Montreal,25003,4235,589481,45454,Canada
498,Taikang Insurance Group,24932,1795,117398,57406,China
499,Ultrapar Holdings,24816,315,7870,17034,Brazil
500,Air Liquide,24797,2494,47984,66000,France
