module_category,component_category,date_repair,actual,predicted
M2,P05,2009/03,67,53
M2,P05,2009/04,54,54
M2,P05,2009/05,41,54
M2,P05,2009/06,45,71
M2,P05,2009/07,60,62
M2,P05,2009/08,43,51
M2,P05,2009/09,32,32
M2,P06,2009/01,705,862
M2,P06,2009/10,399,383
M2,P06,2009/11,325,293
M2,P06,2009/12,221,216
M2,P06,2009/02,606,851
M2,P06,2009/03,1029,857
M2,P06,2009/04,998,840
M2,P06,2009/05,691,819
M2,P06,2009/06,527,1088
M2,P06,2009/07,614,960
M2,P06,2009/08,581,807
M2,P06,2009/09,809,494
M2,P09,2009/01,171,199
M2,P09,2009/10,78,118
M2,P09,2009/11,76,89
M2,P09,2009/12,53,61
M2,P09,2009/02,138,216
M2,P09,2009/03,281,237
M2,P09,2009/04,307,251
M2,P09,2009/05,264,254
M2,P09,2009/06,264,343
M2,P09,2009/07,265,302
M2,P09,2009/08,214,257
M2,P09,2009/09,146,153
M2,P12,2009/01,175,96
M2,P12,2009/10,5,12
M2,P12,2009/11,6,9
M2,P12,2009/12,9,6
M2,P12,2009/02,145,87
M2,P12,2009/03,52,76
M2,P12,2009/04,30,65
M2,P12,2009/05,23,54
M2,P12,2009/06,12,60
M2,P12,2009/07,6,46
M2,P12,2009/08,18,34
M2,P12,2009/09,9,17
M2,P13,2009/01,16,13
M2,P13,2009/10,5,7
M2,P13,2009/11,3,6
M2,P13,2009/12,5,5
M2,P13,2009/02,8,13
M2,P13,2009/03,16,14
M2,P13,2009/04,21,14
M2,P13,2009/05,16,14
M2,P13,2009/06,17,19
M2,P13,2009/07,11,17
M2,P13,2009/08,14,14
M2,P13,2009/09,6,9
M2,P15,2009/01,111,116
M2,P15,2009/10,32,45
M2,P15,2009/11,23,37
M2,P15,2009/12,15,28
M2,P15,2009/02,76,110
M2,P15,2009/03,110,103
M2,P15,2009/04,93,100
M2,P15,2009/05,85,94
M2,P15,2009/06,83,123
M2,P15,2009/07,80,108
M2,P15,2009/08,65,92
M2,P15,2009/09,59,55
M2,P16,2009/01,859,1608
M2,P16,2009/10,834,1027
M2,P16,2009/11,580,806
M2,P16,2009/12,367,588
M2,P16,2009/02,776,1649
M2,P16,2009/03,1178,1735
M2,P16,2009/04,1088,1787
M2,P16,2009/05,1583,1825
M2,P16,2009/06,1923,2527
M2,P16,2009/07,2501,2319
M2,P16,2009/08,2247,2024
M2,P16,2009/09,1753,1280
M2,P17,2009/01,36,35
M2,P17,2009/10,14,17
M2,P17,2009/11,13,14
M2,P17,2009/12,6,10
M2,P17,2009/02,31,36
M2,P17,2009/03,55,37
M2,P17,2009/04,34,37
M2,P17,2009/05,28,37
M2,P17,2009/06,39,48
M2,P17,2009/07,27,43
M2,P17,2009/08,28,36
M2,P17,2009/09,25,22
M2,P19,2009/01,9,15
M2,P19,2009/10,5,9
M2,P19,2009/11,6,8
M2,P19,2009/12,2,7
M2,P19,2009/02,10,17
M2,P19,2009/03,17,16
M2,P19,2009/04,23,17
M2,P19,2009/05,17,18
M2,P19,2009/06,23,24
M2,P19,2009/07,24,23
M2,P19,2009/08,14,18
M2,P19,2009/09,11,11
M2,P20,2009/01,805,903
M2,P20,2009/10,277,342
M2,P20,2009/11,178,243
M2,P20,2009/12,139,160
M2,P20,2009/02,660,913
M2,P20,2009/03,927,920
M2,P20,2009/04,839,913
M2,P20,2009/05,879,875
M2,P20,2009/06,851,1134
M2,P20,2009/07,867,971
M2,P20,2009/08,789,791
M2,P20,2009/09,546,457
M2,P21,2009/01,46,39
M2,P21,2009/10,6,15
M2,P21,2009/11,5,14
M2,P21,2009/12,8,12
M2,P21,2009/02,27,29
M2,P21,2009/03,23,23
M2,P21,2009/04,15,21
M2,P21,2009/05,24,21
M2,P21,2009/06,23,29
M2,P21,2009/07,37,30
M2,P21,2009/08,16,29
M2,P21,2009/09,14,18
M2,P22,2009/01,47,57
M2,P22,2009/10,23,27
M2,P22,2009/11,13,21
M2,P22,2009/12,12,15
M2,P22,2009/02,31,59
M2,P22,2009/03,83,62
M2,P22,2009/04,73,62
M2,P22,2009/05,60,64
M2,P22,2009/06,62,86
M2,P22,2009/07,46,74
M2,P22,2009/08,47,61
M2,P22,2009/09,38,38
M2,P24,2009/01,1763,2045
M2,P24,2009/10,613,771
M2,P24,2009/11,417,546
M2,P24,2009/12,233,351
M2,P24,2009/02,1439,2085
M2,P24,2009/03,2604,2146
M2,P24,2009/04,2115,2131
M2,P24,2009/05,1962,2079
M2,P24,2009/06,1934,2699
M2,P24,2009/07,2035,2267
M2,P24,2009/08,1693,1824
M2,P24,2009/09,1157,1062
M2,P25,2009/01,72,77
M2,P25,2009/10,10,27
M2,P25,2009/11,5,20
M2,P25,2009/12,4,13
M2,P25,2009/02,63,71
M2,P25,2009/03,79,72
M2,P25,2009/04,61,68
M2,P25,2009/05,67,64
M2,P25,2009/06,52,84
M2,P25,2009/07,56,74
M2,P25,2009/08,34,62
M2,P25,2009/09,28,36
M2,P26,2009/01,9,8
M2,P26,2009/10,3,4
M2,P26,2009/11,1,3
M2,P26,2009/12,5,2
M2,P26,2009/02,10,8
M2,P26,2009/03,9,7
M2,P26,2009/04,7,8
M2,P26,2009/05,10,8
M2,P26,2009/06,4,9
M2,P26,2009/07,5,10
M2,P26,2009/08,3,8
M2,P26,2009/09,4,4
M2,P28,2009/01,182,227
M2,P28,2009/10,53,85
M2,P28,2009/11,50,65
M2,P28,2009/12,36,42
M2,P28,2009/02,148,231
M2,P28,2009/03,224,225
M2,P28,2009/04,156,221
M2,P28,2009/05,203,216
M2,P28,2009/06,205,276
M2,P28,2009/07,201,236
M2,P28,2009/08,191,199
M2,P28,2009/09,121,115
M2,P30,2009/01,37,41
M2,P30,2009/10,27,21
M2,P30,2009/11,12,16
M2,P30,2009/12,15,11
M2,P30,2009/02,15,42
M2,P30,2009/03,47,46
M2,P30,2009/04,32,48
M2,P30,2009/05,40,48
M2,P30,2009/06,45,65
M2,P30,2009/07,54,56
M2,P30,2009/08,47,46
M2,P30,2009/09,49,28
M2,P31,2009/01,5,9
M2,P31,2009/10,7,4
M2,P31,2009/11,3,3
M2,P31,2009/02,6,8
M2,P31,2009/03,14,8
M2,P31,2009/04,10,8
M2,P31,2009/05,6,7
M2,P31,2009/06,6,11
M2,P31,2009/07,8,10
M2,P31,2009/08,4,7
M2,P31,2009/09,5,6
M3,P05,2009/01,24,25
M3,P05,2009/10,1,4
M3,P05,2009/12,3,4
M3,P05,2009/02,17,19
M3,P05,2009/03,3,14
M3,P05,2009/04,6,11
M3,P05,2009/05,9,8
M3,P05,2009/06,6,9
M3,P05,2009/07,5,7
M3,P05,2009/08,3,6
M3,P05,2009/09,2,4
M3,P06,2009/01,211,257
M3,P06,2009/10,20,24
M3,P06,2009/11,21,17
M3,P06,2009/12,9,13
M3,P06,2009/02,191,214
M3,P06,2009/03,141,169
M3,P06,2009/04,68,132
M3,P06,2009/05,82,101
M3,P06,2009/06,68,109
M3,P06,2009/07,48,83
M3,P06,2009/08,38,60
M3,P06,2009/09,26,32
M3,P09,2009/01,149,154
M3,P09,2009/10,20,17
M3,P09,2009/11,16,12
M3,P09,2009/12,7,8
M3,P09,2009/02,136,129
M3,P09,2009/03,104,104
M3,P09,2009/04,75,85
M3,P09,2009/05,56,68
M3,P09,2009/06,54,71
M3,P09,2009/07,50,54
M3,P09,2009/08,32,41
M3,P09,2009/09,26,24
M3,P12,2009/01,511,666
M3,P12,2009/10,37,67
M3,P12,2009/11,33,46
M3,P12,2009/12,24,34
M3,P12,2009/02,384,535
M3,P12,2009/03,282,420
M3,P12,2009/04,144,341
M3,P12,2009/05,124,264
M3,P12,2009/06,131,277
M3,P12,2009/07,91,219
M3,P12,2009/08,82,168
M3,P12,2009/09,47,93
M3,P13,2009/01,14,14
M3,P13,2009/10,5,1
M3,P13,2009/02,11,10
M3,P13,2009/03,5,9
M3,P13,2009/04,7,7
M3,P13,2009/05,4,5
M3,P13,2009/06,6,5
M3,P13,2009/07,1,3
M3,P13,2009/08,5,3
M3,P15,2009/01,61,56
M3,P15,2009/10,1,3
M3,P15,2009/11,2,2
M3,P15,2009/02,43,46
M3,P15,2009/03,22,35
M3,P15,2009/04,11,27
M3,P15,2009/05,18,20
M3,P15,2009/06,15,22
M3,P15,2009/07,9,17
M3,P15,2009/08,7,11
M3,P15,2009/09,4,5
M3,P16,2009/01,47,55
M3,P16,2009/10,3,4
M3,P16,2009/11,6,3
M3,P16,2009/12,4,2
M3,P16,2009/02,45,44
M3,P16,2009/03,29,32
M3,P16,2009/04,13,25
M3,P16,2009/05,20,19
M3,P16,2009/06,14,20
M3,P16,2009/07,9,16
M3,P16,2009/08,6,11
M3,P16,2009/09,8,5
M3,P20,2009/01,127,137
M3,P20,2009/10,15,11
M3,P20,2009/11,8,8
M3,P20,2009/12,6,6
M3,P20,2009/02,119,114
M3,P20,2009/03,96,93
M3,P20,2009/04,76,75
M3,P20,2009/05,70,57
M3,P20,2009/06,65,60
M3,P20,2009/07,32,43
M3,P20,2009/08,26,32
M3,P20,2009/09,21,15
M3,P21,2009/01,18,22
M3,P21,2009/10,6,2
M3,P21,2009/11,2,2
M3,P21,2009/02,17,19
M3,P21,2009/03,15,16
M3,P21,2009/04,12,13
M3,P21,2009/05,7,9
M3,P21,2009/06,5,11
M3,P21,2009/07,6,9
M3,P21,2009/08,7,8
M3,P21,2009/09,3,4
M3,P22,2009/01,35,24
M3,P22,2009/10,2,2
M3,P22,2009/11,1,1
M3,P22,2009/02,20,19
M3,P22,2009/03,11,14
M3,P22,2009/04,10,10
M3,P22,2009/05,14,8
M3,P22,2009/06,6,8
M3,P22,2009/07,9,6
M3,P22,2009/08,5,4
M3,P22,2009/09,3,2
M3,P24,2009/01,95,113
M3,P24,2009/10,7,9
M3,P24,2009/11,4,6
M3,P24,2009/12,1,4
M3,P24,2009/02,73,90
M3,P24,2009/03,52,67
M3,P24,2009/04,42,53
M3,P24,2009/05,32,43
M3,P24,2009/06,29,44
M3,P24,2009/07,20,32
M3,P24,2009/08,18,23
M3,P24,2009/09,11,12
M3,P26,2009/01,69,100
M3,P26,2009/10,3,6
M3,P26,2009/11,4,4
M3,P26,2009/12,1,3
M3,P26,2009/02,37,77
M3,P26,2009/03,23,55
M3,P26,2009/04,23,44
M3,P26,2009/05,10,32
M3,P26,2009/06,11,32
M3,P26,2009/07,5,24
M3,P26,2009/08,9,16
M3,P26,2009/09,7,9
M3,P28,2009/01,41,51
M3,P28,2009/10,4,3
M3,P28,2009/11,3,3
M3,P28,2009/12,2,2
M3,P28,2009/02,40,41
M3,P28,2009/03,22,32
M3,P28,2009/04,16,25
M3,P28,2009/05,12,19
M3,P28,2009/06,8,19
M3,P28,2009/07,7,13
M3,P28,2009/08,6,9
M3,P28,2009/09,4,5
M3,P30,2009/01,17,20
M3,P30,2009/10,5,2
M3,P30,2009/12,2,2
M3,P30,2009/02,6,16
M3,P30,2009/03,13,12
M3,P30,2009/04,4,8
M3,P30,2009/05,9,6
M3,P30,2009/06,7,7
M3,P30,2009/07,5,6
M3,P30,2009/08,4,4
M3,P30,2009/09,1,2
M4,P04,2009/01,4,4
M4,P04,2009/11,1,1
M4,P04,2009/12,1,1
M4,P04,2009/02,1,3
M4,P04,2009/03,4,3
M4,P04,2009/04,6,3
M4,P04,2009/05,1,3
M4,P04,2009/06,2,3
M4,P04,2009/07,3,3
M4,P04,2009/08,2,3
M4,P04,2009/09,1,1
M4,P06,2009/01,29,27
M4,P06,2009/10,8,12
M4,P06,2009/11,18,10
M4,P06,2009/12,25,9
M4,P06,2009/02,16,24
M4,P06,2009/03,27,22
M4,P06,2009/04,18,20
M4,P06,2009/05,12,19
M4,P06,2009/06,12,24
M4,P06,2009/07,13,23
M4,P06,2009/08,15,20
M4,P06,2009/09,12,13
M4,P09,2009/01,9,6
M4,P09,2009/10,3,3
M4,P09,2009/11,4,3
M4,P09,2009/12,5,2
M4,P09,2009/02,7,6
M4,P09,2009/03,5,5
M4,P09,2009/04,5,4
M4,P09,2009/05,6,4
M4,P09,2009/06,2,6
M4,P09,2009/07,4,5
M4,P09,2009/08,1,4
M4,P09,2009/09,4,3
M4,P12,2009/01,64,35
M4,P12,2009/10,9,14
M4,P12,2009/11,7,12
M4,P12,2009/12,6,11
M4,P12,2009/02,42,32
M4,P12,2009/03,22,30
M4,P12,2009/04,16,27
M4,P12,2009/05,10,25
M4,P12,2009/06,13,32
M4,P12,2009/07,13,30
M4,P12,2009/08,13,27
M4,P12,2009/09,17,16
M4,P15,2009/01,2,2
M4,P15,2009/10,1,1
M4,P15,2009/11,1,0
M4,P15,2009/12,2,0
M4,P15,2009/03,2,2
M4,P15,2009/04,3,2
M4,P15,2009/05,1,1
M4,P15,2009/06,1,2
M4,P15,2009/08,2,1
M4,P15,2009/09,1,1
M4,P16,2009/01,11,17
M4,P16,2009/10,8,7
M4,P16,2009/11,6,6
M4,P16,2009/12,6,5
M4,P16,2009/02,5,15
M4,P16,2009/03,15,14
M4,P16,2009/04,9,13
M4,P16,2009/05,7,12
M4,P16,2009/06,11,14
M4,P16,2009/07,8,14
M4,P16,2009/08,13,12
M4,P16,2009/09,6,8
M4,P20,2009/01,3,4
M4,P20,2009/11,1,1
M4,P20,2009/12,2,1
M4,P20,2009/03,3,2
M4,P20,2009/04,3,2
M4,P20,2009/05,1,1
M4,P20,2009/06,2,2
M4,P20,2009/07,1,2
M4,P20,2009/08,2,2
M4,P21,2009/01,6,6
M4,P21,2009/10,2,3
M4,P21,2009/11,3,2
M4,P21,2009/02,5,5
M4,P21,2009/03,4,5
M4,P21,2009/04,7,4
M4,P21,2009/05,1,4
M4,P21,2009/06,4,5
M4,P21,2009/07,4,5
M4,P21,2009/08,8,4
M4,P21,2009/09,4,3
M4,P26,2009/01,1,2
M4,P26,2009/11,1,1
M4,P26,2009/12,1,0
M4,P26,2009/02,2,2
M4,P26,2009/03,1,2
M4,P26,2009/04,4,2
M4,P26,2009/05,1,2
M4,P26,2009/06,2,2
M4,P26,2009/07,2,2
M4,P26,2009/08,1,2
M4,P26,2009/09,3,1
M4,P30,2009/12,3,0
M4,P30,2009/03,1,0
M4,P30,2009/04,1,0
M4,P30,2009/05,1,0
M5,P06,2009/01,13,16
M5,P06,2009/11,2,1
M5,P06,2009/12,1,1
M5,P06,2009/02,9,12
M5,P06,2009/03,11,9
M5,P06,2009/04,5,7
M5,P06,2009/05,6,5
M5,P06,2009/06,3,6
M5,P06,2009/07,8,5
M5,P06,2009/08,3,3
M5,P09,2009/01,8,9
M5,P09,2009/10,6,5
M5,P09,2009/11,5,4
M5,P09,2009/12,5,3
M5,P09,2009/02,8,8
M5,P09,2009/03,10,8
M5,P09,2009/04,9,7
M5,P09,2009/05,7,7
M5,P09,2009/06,6,9
M5,P09,2009/07,6,9
M5,P09,2009/08,8,8
M5,P09,2009/09,5,5
M5,P12,2009/01,21,12
M5,P12,2009/11,5,1
M5,P12,2009/12,2,1
M5,P12,2009/02,5,11
M5,P12,2009/03,5,10
M5,P12,2009/04,1,9
M5,P12,2009/05,2,7
M5,P12,2009/07,3,5
M5,P12,2009/09,1,2
M5,P15,2009/01,10,8
M5,P15,2009/10,4,1
M5,P15,2009/11,1,1
M5,P15,2009/12,1,1
M5,P15,2009/03,3,6
M5,P15,2009/04,4,6
M5,P15,2009/05,1,5
M5,P15,2009/08,2,3
M5,P16,2009/01,23,20
M5,P16,2009/10,9,8
M5,P16,2009/11,8,8
M5,P16,2009/12,11,7
M5,P16,2009/02,19,18
M5,P16,2009/03,12,18
M5,P16,2009/04,20,17
M5,P16,2009/05,7,15
M5,P16,2009/06,15,19
M5,P16,2009/07,8,18
M5,P16,2009/08,7,16
M5,P16,2009/09,13,10
M5,P21,2009/01,17,18
M5,P21,2009/10,2,4
M5,P21,2009/11,5,4
M5,P21,2009/12,2,3
M5,P21,2009/02,8,15
M5,P21,2009/03,7,14
M5,P21,2009/04,11,13
M5,P21,2009/05,8,11
M5,P21,2009/06,3,13
M5,P21,2009/07,4,11
M5,P21,2009/08,4,9
M5,P21,2009/09,3,5
M6,P02,2009/01,7,6
M6,P02,2009/10,2,2
M6,P02,2009/12,2,1
M6,P02,2009/02,7,5
M6,P02,2009/03,4,4
M6,P02,2009/04,7,5
M6,P02,2009/05,5,4
M6,P02,2009/06,5,7
M6,P02,2009/07,4,6
M6,P02,2009/08,3,5
M6,P02,2009/09,3,3
M6,P04,2009/01,4,4
M6,P04,2009/10,3,1
M6,P04,2009/11,1,1
M6,P04,2009/12,1,1
M6,P04,2009/02,1,3
M6,P04,2009/03,1,2
M6,P04,2009/04,5,2
M6,P04,2009/05,2,2
M6,P04,2009/06,1,3
M6,P04,2009/07,3,2
M6,P04,2009/08,4,2
M6,P04,2009/09,1,1
M6,P05,2009/01,4,9
M6,P05,2009/10,6,10
M6,P05,2009/11,7,8
M6,P05,2009/12,6,8
M6,P05,2009/02,4,9
M6,P05,2009/03,13,9
M6,P05,2009/04,17,11
M6,P05,2009/05,17,12
M6,P05,2009/06,8,18
M6,P05,2009/07,16,20
M6,P05,2009/08,10,19
M6,P05,2009/09,14,12
M6,P06,2009/01,460,538
M6,P06,2009/10,377,351
M6,P06,2009/11,314,267
M6,P06,2009/12,219,186
M6,P06,2009/02,414,533
M6,P06,2009/03,700,543
M6,P06,2009/04,619,546
M6,P06,2009/05,537,548
M6,P06,2009/06,459,744
M6,P06,2009/07,489,739
M6,P06,2009/08,387,687
M6,P06,2009/09,338,436
M6,P09,2009/01,61,74
M6,P09,2009/10,68,91
M6,P09,2009/11,46,66
M6,P09,2009/12,31,49
M6,P09,2009/02,48,81
M6,P09,2009/03,110,92
M6,P09,2009/04,111,104
M6,P09,2009/05,140,117
M6,P09,2009/06,163,184
M6,P09,2009/07,195,199
M6,P09,2009/08,124,189
M6,P09,2009/09,118,119
M6,P12,2009/01,112,92
M6,P12,2009/10,41,17
M6,P12,2009/11,14,13
M6,P12,2009/12,4,10
M6,P12,2009/02,91,81
M6,P12,2009/03,40,67
M6,P12,2009/04,34,54
M6,P12,2009/05,26,43
M6,P12,2009/06,21,52
M6,P12,2009/07,21,44
M6,P12,2009/08,20,37
M6,P12,2009/09,9,22
M6,P13,2009/01,12,11
M6,P13,2009/10,10,8
M6,P13,2009/11,4,6
M6,P13,2009/12,5,4
M6,P13,2009/02,9,11
M6,P13,2009/03,8,10
M6,P13,2009/04,9,11
M6,P13,2009/05,14,11
M6,P13,2009/06,15,16
M6,P13,2009/07,10,17
M6,P13,2009/08,16,17
M6,P13,2009/09,9,10
M6,P15,2009/01,41,48
M6,P15,2009/10,12,22
M6,P15,2009/11,7,15
M6,P15,2009/12,6,9
M6,P15,2009/02,30,45
M6,P15,2009/03,51,42
M6,P15,2009/04,44,42
M6,P15,2009/05,47,43
M6,P15,2009/06,37,58
M6,P15,2009/07,45,57
M6,P15,2009/08,36,49
M6,P15,2009/09,28,29
M6,P16,2009/01,599,781
M6,P16,2009/10,686,1053
M6,P16,2009/11,382,794
M6,P16,2009/12,216,543
M6,P16,2009/02,397,717
M6,P16,2009/03,655,679
M6,P16,2009/04,530,738
M6,P16,2009/05,892,886
M6,P16,2009/06,1181,1559
M6,P16,2009/07,1790,1875
M6,P16,2009/08,1870,1951
M6,P16,2009/09,1454,1297
M6,P17,2009/01,29,30
M6,P17,2009/10,14,20
M6,P17,2009/11,14,14
M6,P17,2009/12,8,10
M6,P17,2009/02,20,30
M6,P17,2009/03,31,28
M6,P17,2009/04,26,29
M6,P17,2009/05,23,29
M6,P17,2009/06,36,43
M6,P17,2009/07,45,45
M6,P17,2009/08,28,43
M6,P17,2009/09,35,27
M6,P19,2009/01,1,6
M6,P19,2009/10,5,8
M6,P19,2009/11,5,8
M6,P19,2009/12,1,8
M6,P19,2009/02,2,6
M6,P19,2009/03,9,7
M6,P19,2009/04,7,9
M6,P19,2009/05,13,10
M6,P19,2009/06,17,15
M6,P19,2009/07,10,15
M6,P19,2009/08,13,14
M6,P19,2009/09,7,9
M6,P20,2009/01,524,546
M6,P20,2009/10,224,363
M6,P20,2009/11,171,255
M6,P20,2009/12,109,167
M6,P20,2009/02,403,538
M6,P20,2009/03,602,541
M6,P20,2009/04,516,558
M6,P20,2009/05,562,573
M6,P20,2009/06,635,837
M6,P20,2009/07,657,853
M6,P20,2009/08,574,793
M6,P20,2009/09,448,480
M6,P21,2009/01,70,56
M6,P21,2009/10,10,8
M6,P21,2009/11,8,8
M6,P21,2009/12,4,7
M6,P21,2009/02,34,39
M6,P21,2009/03,34,27
M6,P21,2009/04,21,19
M6,P21,2009/05,16,17
M6,P21,2009/06,12,19
M6,P21,2009/07,13,19
M6,P21,2009/08,10,16
M6,P21,2009/09,15,10
M6,P22,2009/01,26,29
M6,P22,2009/10,16,20
M6,P22,2009/11,10,14
M6,P22,2009/12,6,10
M6,P22,2009/02,20,29
M6,P22,2009/03,37,27
M6,P22,2009/04,31,29
M6,P22,2009/05,26,28
M6,P22,2009/06,32,42
M6,P22,2009/07,29,43
M6,P22,2009/08,33,42
M6,P22,2009/09,33,26
M6,P24,2009/01,925,1080
M6,P24,2009/10,433,713
M6,P24,2009/11,286,495
M6,P24,2009/12,154,319
M6,P24,2009/02,738,1060
M6,P24,2009/03,1232,1056
M6,P24,2009/04,1038,1069
M6,P24,2009/05,1013,1083
M6,P24,2009/06,1116,1583
M6,P24,2009/07,1231,1651
M6,P24,2009/08,1127,1551
M6,P24,2009/09,879,953
M6,P25,2009/01,26,32
M6,P25,2009/10,6,13
M6,P25,2009/11,5,9
M6,P25,2009/12,3,7
M6,P25,2009/02,15,28
M6,P25,2009/03,28,26
M6,P25,2009/04,23,25
M6,P25,2009/05,24,24
M6,P25,2009/06,28,32
M6,P25,2009/07,20,30
M6,P25,2009/08,20,28
M6,P25,2009/09,11,17
M6,P26,2009/01,8,12
M6,P26,2009/10,1,3
M6,P26,2009/11,2,3
M6,P26,2009/02,2,9
M6,P26,2009/03,3,7
M6,P26,2009/04,3,6
M6,P26,2009/05,5,5
M6,P26,2009/06,6,6
M6,P26,2009/07,6,6
M6,P26,2009/08,7,5
M6,P28,2009/01,56,86
M6,P28,2009/10,38,62
M6,P28,2009/11,38,43
M6,P28,2009/12,35,29
M6,P28,2009/02,63,84
M6,P28,2009/03,93,85
M6,P28,2009/04,73,89
M6,P28,2009/05,89,91
M6,P28,2009/06,113,132
M6,P28,2009/07,105,134
M6,P28,2009/08,101,129
M6,P28,2009/09,90,79
M6,P30,2009/01,28,23
M6,P30,2009/10,14,20
M6,P30,2009/11,17,17
M6,P30,2009/12,4,13
M6,P30,2009/02,6,23
M6,P30,2009/03,29,25
M6,P30,2009/04,26,25
M6,P30,2009/05,27,29
M6,P30,2009/06,36,42
M6,P30,2009/07,44,48
M6,P30,2009/08,42,45
M6,P30,2009/09,30,28
M6,P31,2009/01,2,7
M6,P31,2009/10,3,6
M6,P31,2009/11,5,5
M6,P31,2009/12,2,4
M6,P31,2009/02,4,6
M6,P31,2009/03,5,6
M6,P31,2009/04,8,6
M6,P31,2009/05,7,7
M6,P31,2009/06,8,11
M6,P31,2009/07,11,14
M6,P31,2009/08,10,13
M6,P31,2009/09,18,9
M7,P02,2009/01,4,2
M7,P02,2009/11,5,1
M7,P02,2009/12,1,1
M7,P02,2009/03,3,3
M7,P02,2009/04,1,2
M7,P02,2009/05,4,1
M7,P02,2009/06,1,2
M7,P02,2009/08,3,2
M7,P04,2009/01,148,204
M7,P04,2009/10,160,135
M7,P04,2009/11,217,130
M7,P04,2009/12,171,118
M7,P04,2009/02,128,191
M7,P04,2009/03,202,189
M7,P04,2009/04,181,190
M7,P04,2009/05,127,176
M7,P04,2009/06,167,230
M7,P04,2009/07,196,226
M7,P04,2009/08,163,215
M7,P04,2009/09,179,144
M7,P06,2009/01,43,49
M7,P06,2009/10,22,12
M7,P06,2009/11,23,10
M7,P06,2009/12,18,8
M7,P06,2009/02,21,42
M7,P06,2009/03,46,37
M7,P06,2009/04,30,32
M7,P06,2009/05,29,28
M7,P06,2009/06,34,33
M7,P06,2009/07,31,28
M7,P06,2009/08,36,27
M7,P06,2009/09,27,15
M7,P09,2009/01,3,4
M7,P09,2009/10,1,2
M7,P09,2009/11,7,2
M7,P09,2009/12,8,2
M7,P09,2009/02,4,4
